,Q0-B,QID245,StudioLevel,"Q-S1,S","Q-S2,S","Q-S3,S","QS-P1,S","QS-P1,S_11_TEXT","QS-P1,S.1","QS-P1,S_11_TEXT.1","QS-P2,S","QS-P2,S_8_TEXT","QS-P3,S","QS-P3,S_9_TEXT","QS-P4,S_4","QE+A,V1,S,N_1","QE+A,V1,S,N_2","QE+A,V2,S,N_1","QE+A,V2,S,N_2","QE+A,V3,S,N_1","QE+A,V3,S,N_2","QE+A,V4,S,N_1","QE+A,V4,S,N_2","QE+A,V5,S,N_1","QE+A,V5,S,N_2","QE+A,All","QE+A,P1,S","QE+A,P1,S_11_TEXT","QE+A,P2,S","QE+A,P2,S_11_TEXT","QE+A,P3,S","QE+A,P4,S","QN+C,V1,S,R_1","QN+C,V1,S,R_2","QN+C,V2,S,N_1","QN+C,V2,S,N_2","QN+C,V3,S,R_1","QN+C,V3,S,R_2","QN+C,V4,S,R_1","QN+C,V4,S,R_2","QN+C,V4,S,R_1.1","QN+C,V4,S,R_2.1","QN+C,V5,S,R_1","QN+C,V5,S,R_2","QN+C,V6,S,R_1","QN+C,V6,S,R_2","QN+C,V6,S,R_1.1","QN+C,V6,S,R_2.1","QN+C,V7,S,N_1","QN+C,V7,S,N_2","QN+C,All","QN+C,P1,S","QN+C,P1,S_10_TEXT","QN+C,P1a,S","QN+C,P2,S","QN+C,P2,S","QN+C,P2aS,S","QN+C,P2a,S","QI+C,V1,S,N_1","QI+C,V1,S,N_2","QI+C,V2,S,N_1","QI+C,V2,S,N_2","QI+C,V3,S,R_1","QI+C,V3,S,R_2","QI+C,V4,N_1","QI+C,V4,N_2","QI+C,All","QI+C,P1,S","QI+C,P1,S_18_TEXT","QI+C,P2,S","QI+C,P2,S_10_TEXT","QI+C,P3,S","QI+C,P4,S","QS+U,V1,S,N _1","QS+U,V1,S,N _2","QS+U,V2,S,N_1","QS+U,V2,S,N_2","QS+U,V3,S,N_1","QS+U,V3,S,N_2","QS+U,V4,S,N_1","QS+U,V4,S,N_2","QS+U,V6,R_1","QS+U,V6,R_2","QS+U,V7,S,R_1","QS+U,V7,S,R_2","QS+U,V8,S,R_1","QS+U,V8,S,R_2","QS+U,All","QS+U,P1,S","QS+U,P1,S_10_TEXT","QS+U,P1,S.1","QS+U,P1,S_10_TEXT.1","QS+U,P2,S","QS+U,P2,S_9_TEXT","QS+U,P2,S.1","QS+U,P2,S_9_TEXT.1","QLA+BR,V1,S,N_1","QLA+BR,V1,S,N_2","QLA+BR,V2,S,R_1","QLA+BR,V2,S,R_2","QLA+BR,V3,S,N_1","QLA+BR,V3,S,N_2","QLA+BR,V3,FStaff,N_1","QLA+BR,V3,FStaff,N_2","QLA+BR,V4,S,R_1","QLA+BR,V4,S,R_2","QLA+BR,V5,S,N_1","QLA+BR,V5,S,N_2","QLA+BR,All ","LA+BR,P1,S","LA+BR,P1,S_9_TEXT","QC+D,V2,S,R_1","QC+D,V2,S,R_2","QC+D,V3,S,N_1","QC+D,V3,S,N_2","QC+D,V4,S,N_1","QC+D,V4,S,N_1_TEXT","QC+D,V4,S,N_2","QC+D,All","QC+D,P1,S","QC+D,P1,S_5_TEXT","QC+D,P2,S","QC+D,P2,S_9_TEXT","QC+CS,V1,S,N_1","QC+CS,V1,S,N_1_TEXT","QC+CS,V1,S,N_2","QC+CS,V2,S,R_1","QC+CS,V2,S,R_2","QC+CS,V3,S,R_1","QC+CS,V3,S,R_1_TEXT","QC+CS,V3,S,R_2","QC+CS,V4,R_1","QC+CS,V4,R_1_TEXT","QC+CS,V4,R_2","QC+CS,V5,N_1","QC+CS,V5,N_1_TEXT","QC+CS,V5,N_2","QC+CS,All","QC+CS,P1,S","QC+CS,P1,S_11_TEXT","QC+CS,P2a,S","QC+CSP2b,S","QT-C+E,V1,S,N_1","QT-C+E,V1,S,N_1_TEXT","QT-C+E,V1,S,N_2","QT-C+E,V2,S,R_1","QT-C+E,V2,S,R_1_TEXT","QT-C+E,V2,S,R_2","QT-C+E,V3,N_1","QT-C+E,V3,N_1_TEXT","QT-C+E,V3,N_2","QT-C+E,V4,S,R_1","QT-C+E,V4,S,R_1_TEXT","QT-C+E,V4,S,R_2","QT-C+E,V4,S,R_2_TEXT","QT+E,All","QT-C+E,P1,S","QT-C+E,P1,S_7_TEXT","QT-C+E,P2,S","QT-C+E,P3,S","QT-C+E,P4,S","QT-C+E,P4,S_11_TEXT","QT,L+C,V1,S,R_1","QT,L+C,V1,S,R_1_TEXT","QT,L+C,V1,S,R_2","QT,L+C,V2,S,R_1","QT,L+C,V2,S,R_1_TEXT","QT,L+C,V2,S,R_2","QT,L+C,V3,S,N_1","QT,L+C,V3,S,N_1_TEXT","QT,L+C,V3,S,N_2","QT-L+C,V4,S,N_1","QT-L+C,V4,S,N_1_TEXT","QT-L+C,V4,S,N_2","QT,L+C,V5,S,R _1","QT,L+C,V5,S,R _1_TEXT","QT,L+C,V5,S,R _2","QT,L+C,V6,S,R_1","QT,L+C,V6,S,R_1_TEXT","QT,L+C,V6,S,R_2","QT,L+C,V7,S,N_1","QT,L+C,V7,S,N_1_TEXT","QT,L+C,V7,S,N_2","QT-L+C,All","QT-L+C,P1,S_1","QT-L+C,P2,S","QT-L+C,P2,S_7_TEXT","QT,L+C,P3,S_1","QT,L+C,P4,S","QT,L+C,P4,S_9_TEXT","B1,All","B2,All","B2,All_10_TEXT","B3,S","B3,S_6_TEXT","B4,S","B5,S","B6,All","B7,All",QID265
30,,Student,2000 Level/ YR 2,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Student,4000 Level/ YR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Student,3000 Level/ YR 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Student,4000 Level/ YR 4,When we do crits in front of everyone when there’s favoritism ,Seeing everyone’s work ,I can actually understand the concepts and get help better ,,,"Missing family traditions (e.g. family dinner),Time management,Finances",,,,"Clear explanation of design thinking,Shaky voice",,200,,,,,,,3,,3,,,"the professional jury,the faculty grading the assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Student,2000 Level/ YR 2,Doesn’t feel connected ,My current teacher,Less collaboration on zoom ,,,,,"Deadlines,Expense of models,Lack of sleep",,"Judgment of audience,Shaky voice,Appearance",,176,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Student,2000 Level/ YR 2,That it’s nearly a 3 gr class,Since studio is design based everyone come up with cool unique work.,The ability to get face to face crits as apodes to over a camera. Especially when you have an in hand model or something like that.,,,,,"Time spent on projects,Grades,Unclear expectations",,"Knowledge of subject matter,Clear explanation of design thinking,Shaky voice,Stutter,Appearance",,200,,,3,2,,,,,3,3,,,,,,Just feel as if grades aren’t always correlated to the amount of time and effort that gets put into projects.,,,,4,2,,,,,,,4,2,,,,,,,,"All students are encouraged to do their best,Very creative,Experimental,Challenging,Competitive",,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Student,4000 Level/ YR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Student,2000 Level/ YR 2,Length,Collaboration,There is no collaboration on zoom but there’s more time ,,,,,"Deadlines,Expense of models,Juggling other responsibilities",,"Clear explanation of design thinking,Shaky voice,Stutter",,200,,,3,1,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Student,1000 Level/ YR 1,The work load is significant.,I love the community that I have within studio. I am putting in several hours every day in studio and I always have fun because I am surrounded by great people and doing work that I love.,Even having only done 2 weeks of studio I can say that in person is significantly better. Being able to reach out to your peers just by walking around the room is super important. I also believe that having a professor that can see the work in front of you and help as you go is very important.,"Establishing a sense of belonging,New learning environments,Mental Health",,,,,,Clear explanation of design thinking,,70,2,2,,,,,,,3,4,"I wish that materials were covered in class, some people cannot support the financial burden that is purchasing materials.",,,,,,Usually,1,1,,,,,,,,,,,,,,,3,3,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Challenging",,"Nobody is trying to outdo one another, we all seek inspiration from each other and play off of everyone’s motivation ",,Strongly agree,,Architecture is a highly sought out job and not a huge college degree.,1,2,,,,,,,we are a little too not critical of others. it may be to our benefit to actually start giving each other critiques.,I work near my peers for solidarity in the studio or other location.,,,,"Open communication, so whenever anyone has a question there will be someone to answer.",I feel more motivated when others around me are motivated. It’s kind of like positive peer pressure.,3,2,,,,,,,,,4,2,3,3,,,,,,I want to better understand my interpretation of the assignment.,,,,,,,,2,2,,,2,3,,,,"I want to better understand my interpretation of the assignment.,Different faculty encourage different aesthetic principles.,Graphical communication is a significant determinant for the final evaluation.",,,,3,2,,,,,"It impacts my family as well as myself, if I do not succeed",,Encouragement to develop further,,2,,1,,,,,,,,,,,,,,,I consistently seek out critiques that differ from my own perspectives to change my ideas,I like to tests several different options before landing on a final design,3,,1,,,,,,,,,,,,,,1-2,Slightly easy,,,3,,2,,,,4,,2,,,,1,,1,,,,,,,,35,,,0,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Undecided,,1,No,Yes,Graduate Degree,
48,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Student,2000 Level/ YR 2,We can‘t leave our projects out because the studio space is used in the afternoon by another group.,Discussing with other students about their ideas and getting feedback.,In person studio is more interactive and more communicative between students. Remote studio is mostly just direct contact with the professor.,,,,,"Deadlines,Time spent on projects,Juggling other responsibilities",,Shaky voice,,200,,,1,1,,,,,1,1,,,,,,I don‘t think it directly affects it. It mostly just helps everyone improve.,,,,3,3,,,,,,,1,2,,,,,,,,"All students are encouraged to do their best,Very creative,Collaborative,Rewarding,Competitive",,"I think students that do good work are highly praised by the professors, especially during pin-ups. I think they should also focus more on the uniqueness of projects than the nicest boards.",,,,,,,2,2,,,,,,,,I take the input and offer feedback for them as well.,,Ask someone for a question or ask someone for feedback. ,"I like working on my own project, but enjoy the additional input from my peers and peofessor.",,,,,3,3,,,,,1,3,,,,,,,,,,I want the assignment to be completed to meet all requirements.,,,,3,4,4,1,,,,,,,,"I want to meet all requirements.,I want to meet the learning objectives.,I want to better understand the instructor's interpretation of the assignment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Student,4000 Level/ YR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Student,2000 Level/ YR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Student,2000 Level/ YR 2,,Able to collaborate and converse with other students ,"It’s easier to reach out to other students in person, but as far as completing work it’s more convince them to work remotely, especially is you commute",,,,,"Expense of models,Unfamiliar technologies,Unclear expectations",,"Judgment of audience,Clear explanation of design thinking,Shaky voice",,200,,,3,2,,,,,2,4,,,,,,Not really,,,,2,2,,,,,,,2,3,,,,,,,,"All students are encouraged to do their best,Very creative,Collaborative,Challenging,Competitive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Student,4000 Level/ YR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Student,1000 Level/ YR 1,"sometimes people can be pretty judgmental, but i don’t know that that is a reflection of studio rather than of the people",late nights working on projects with friends,"being able to collaborate and ask questions with ease in person, vs sitting on zoom for sometimes up to 30-40 min doing nothing waiting to be talked to.","Time management,Expectations,Finances",,,,,,"Judgment of audience,Clear explanation of design thinking,Shaky voice",,200,3,3,,,,,,,4,4,,,,,,,About half the time,3,2,,,,,,,,,,,,,,,3,3,,"All students are encouraged to do their best,Very creative,Collaborative,Rewarding,Challenging,Competitive,Only excellence is encouraged",,,,Agree,,,2,13,,,,,,,,I work near my peers for solidarity in the studio or other location.,,,,just talking to people,we all help each other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Student,1000 Level/ YR 1,my least favorite part of studio time is that we are in the building for such a long amount of time 3x a week.  I feel that our time could be better used if there was a mandatory part of class where all instructions are given and then a workshop period after that where you can either stay in the studio to ask questions and work or go home to continue working so you don't need to constantly be bringing your projects to and from class since they can and have broken on the long walk over to campus.   ,my favorite part of studio is that it allows you enough time in class to make sure you have your questions answered,the biggest difference I see between in person and online is the ability to easily converse with classmates about work,"Time management,New learning environments,Social Life",,,,,,"Vocabulary,Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Shaky voice",,200,4,1,,,,,,,1,1,,,,,,,Sometimes,2,2,,,,,,,,,,,,,,,4,1,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Challenging",,the studio environment allows people to bounce ideas off each other and get the ball rolling a little if anyone is having trouble ,,Agree,,I have not done a ton of research on career choices for my major.,2,2,,,,,,,,I remove myself from social situations to focus on my work.,,,,talking with classmates is my main way to collaborate ,it allows me to look at others work to get an idea standards and quality that are expected ,1,1,,,,,,,,,5,1,1,2,,,,,,I want to meet the learning objectives.,,,,,,,,4,2,,,2,3,,,,"I want to meet all requirements.,I want to meet the learning objectives.,The assignment is unclear.,I want to better understand my interpretation of the assignment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Student,1000 Level/ YR 1,The length,Hands on work ,In remote I feel like the classes usually go shorter because we need the time to work. But in person there is time to work. But personally I like to work in my own space instead of in studio,"Time management,Different food,Expectations",,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Student,1000 Level/ YR 1,Lost and stollen items ,The facility ,The level of feedback is much greater in person. ,"Establishing a sense of belonging,Living away from home,New learning environments",,,,,,Shaky voice,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Student,1000 Level/ YR 1,,seeing everyone's work at the end ,"during in-person, I feel more connected with the material and my classmates. I like to know what others are doing as well, so I can get inspired. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Student,1000 Level/ YR 1,The forced amount of time in the studio if we are able to leave,"The close teaching of instructors, and being able to get a personal learning environment","harder to contribute to group work, and less motivating online","Time management,Expectations,Mental Health",,,,,,"Judgment of audience,Clear explanation of design thinking,Shaky voice",,71,2,3,,,,,,,3,3,,,,,,,Sometimes,1,1,,,,,,,,,,,,,,,4,1,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Rewarding,Challenging",,"The environment is challenging in a good way, and collaborative. ",,Agree,,I think this major is a creative way to prepare us for good careers,13,1,,,,,,,,I work near my peers for solidarity in the studio or other location.,,,,getting to know peers,acknowledgment and critique ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Student,1000 Level/ YR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
